report_id,report_year,place_id,standard_name,matched_variants,category,term,window_words,cooccurrence_count
b1801835x,1894,P007,Flower and Dean Street,flower and dean street,housing,houses,50,3
b1801835x,1894,P008,Dorset Street,dorset street,housing,houses,50,3
b1801835x,1894,P009,Hanbury Street,hanbury street,disease,fever,50,3
b1801835x,1894,P009,Hanbury Street,hanbury street,disease,scarlet fever,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,disease,typhoid,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,disease,measles,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,disease,diphtheria,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,sanitary,sanitary,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,sanitary,drain,50,2
b1801835x,1894,P009,Hanbury Street,hanbury street,sanitary,nuisance,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,sanitary,filth,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,sanitary,dirty,50,3
b1801835x,1894,P009,Hanbury Street,hanbury street,sanitary,water supply,50,2
b1801835x,1894,P009,Hanbury Street,hanbury street,housing,overcrowded,50,2
b1801835x,1894,P009,Hanbury Street,hanbury street,housing,dwellings,50,2
b1801835x,1894,P009,Hanbury Street,hanbury street,housing,houses,50,2
b1801835x,1894,P009,Hanbury Street,hanbury street,governance,summonses,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,governance,medical officer,50,1
b1801835x,1894,P009,Hanbury Street,hanbury street,governance,board,50,2
b1801835x,1894,P010,Leman Street,leman street,sanitary,sanitary,50,1
b1801835x,1894,P012,Spitalfields,spitalfields,disease,fever,50,13
b1801835x,1894,P012,Spitalfields,spitalfields,disease,scarlet fever,50,2
b1801835x,1894,P012,Spitalfields,spitalfields,disease,cholera,50,2
b1801835x,1894,P012,Spitalfields,spitalfields,disease,typhus,50,3
b1801835x,1894,P012,Spitalfields,spitalfields,disease,typhoid,50,1
b1801835x,1894,P012,Spitalfields,spitalfields,disease,diphtheria,50,2
b1801835x,1894,P012,Spitalfields,spitalfields,disease,diarrhoea,50,1
b1801835x,1894,P012,Spitalfields,spitalfields,sanitary,sanitary,50,1
b1801835x,1894,P012,Spitalfields,spitalfields,sanitary,refuse,50,1
b1801835x,1894,P012,Spitalfields,spitalfields,housing,dwellings,50,2
b1801835x,1894,P012,Spitalfields,spitalfields,housing,houses,50,3
b1801835x,1894,P012,Spitalfields,spitalfields,governance,inspector,50,1
b1801835x,1894,P012,Spitalfields,spitalfields,governance,board,50,1
b1801835x,1894,P014,Mile End New Town,mile end new town,disease,fever,50,6
b1801835x,1894,P014,Mile End New Town,mile end new town,disease,cholera,50,1
b1801835x,1894,P014,Mile End New Town,mile end new town,disease,typhus,50,1
b1801835x,1894,P014,Mile End New Town,mile end new town,disease,diphtheria,50,1
b1801835x,1894,P014,Mile End New Town,mile end new town,sanitary,refuse,50,1
b1801835x,1894,P016,London Hospital,london hospital,disease,fever,50,1
b1801835x,1894,P016,London Hospital,london hospital,sanitary,sanitary,50,2
b1801835x,1894,P016,London Hospital,london hospital,housing,dwellings,50,1
b1801835x,1894,P016,London Hospital,london hospital,housing,houses,50,3
b1801835x,1894,P016,London Hospital,london hospital,governance,medical officer,50,1
b1801835x,1894,P016,London Hospital,london hospital,governance,board,50,2
b1801835x,1894,P018,Commercial Street,commercial street,sanitary,sanitary,50,1
b1801835x,1894,P018,Commercial Street,commercial street,housing,houses,50,3
b1801835x,1894,P019,George Yard,george yard,disease,fever,50,1
b1801835x,1894,P019,George Yard,george yard,disease,measles,50,1
b1801835x,1894,P019,George Yard,george yard,housing,houses,50,3
b1801835x,1894,P021,Fashion Street,fashion street,sanitary,drain,50,1
b1801835x,1894,P021,Fashion Street,fashion street,sanitary,nuisance,50,1
b1801835x,1894,P021,Fashion Street,fashion street,sanitary,dirty,50,1
b1801835x,1894,P022,Mile End Old Town,mile end old town,sanitary,sanitary,50,3
b1801835x,1894,P022,Mile End Old Town,mile end old town,governance,board,50,2
b19883687,1895,P001,Whitechapel Road,whitechapel road,housing,houses,50,2
b19883687,1895,P001,Whitechapel Road,whitechapel road,governance,inspector,50,1
b19883687,1895,P003,Brick Lane,brick lane,housing,houses,50,3
b19883687,1895,P003,Brick Lane,brick lane,governance,inspector,50,1
b19883687,1895,P004,Commercial Road,commercial road,sanitary,sanitary,50,1
b19883687,1895,P004,Commercial Road,commercial road,governance,board,50,1
b19883687,1895,P006,Wentworth Street,wentworth street,disease,fever,50,2
b19883687,1895,P006,Wentworth Street,wentworth street,disease,scarlet fever,50,2
b19883687,1895,P006,Wentworth Street,wentworth street,sanitary,sanitary,50,1
b19883687,1895,P006,Wentworth Street,wentworth street,sanitary,nuisance,50,1
b19883687,1895,P006,Wentworth Street,wentworth street,housing,lodging house,50,1
b19883687,1895,P007,Flower and Dean Street,flower and dean street,housing,lodging house,50,4
b19883687,1895,P007,Flower and Dean Street,flower and dean street,housing,common lodging house,50,4
b19883687,1895,P007,Flower and Dean Street,flower and dean street,housing,houses,50,3
b19883687,1895,P008,Dorset Street,dorset street,housing,houses,50,3
b19883687,1895,P009,Hanbury Street,hanbury street,disease,diphtheria,50,1
b19883687,1895,P009,Hanbury Street,hanbury street,sanitary,sanitary,50,5
b19883687,1895,P009,Hanbury Street,hanbury street,sanitary,drainage,50,1
b19883687,1895,P009,Hanbury Street,hanbury street,sanitary,nuisance,50,4
b19883687,1895,P009,Hanbury Street,hanbury street,sanitary,dirty,50,1
b19883687,1895,P009,Hanbury Street,hanbury street,sanitary,water supply,50,1
b19883687,1895,P009,Hanbury Street,hanbury street,housing,overcrowded,50,2
b19883687,1895,P009,Hanbury Street,hanbury street,housing,houses,50,2
b19883687,1895,P009,Hanbury Street,hanbury street,housing,rooms,50,1
b19883687,1895,P012,Spitalfields,spitalfields,disease,fever,50,1
b19883687,1895,P012,Spitalfields,spitalfields,disease,typhus,50,1
b19883687,1895,P012,Spitalfields,spitalfields,disease,typhoid,50,1
b19883687,1895,P012,Spitalfields,spitalfields,disease,diarrhoea,50,1
b19883687,1895,P014,Mile End New Town,mile end new town,disease,fever,50,12
b19883687,1895,P014,Mile End New Town,mile end new town,disease,scarlet fever,50,2
b19883687,1895,P014,Mile End New Town,mile end new town,disease,cholera,50,2
b19883687,1895,P014,Mile End New Town,mile end new town,disease,typhus,50,2
b19883687,1895,P014,Mile End New Town,mile end new town,disease,diphtheria,50,2
b19883687,1895,P016,London Hospital,london hospital,disease,fever,50,10
b19883687,1895,P016,London Hospital,london hospital,disease,scarlet fever,50,2
b19883687,1895,P016,London Hospital,london hospital,disease,typhus,50,2
b19883687,1895,P016,London Hospital,london hospital,disease,typhoid,50,2
b19883687,1895,P016,London Hospital,london hospital,disease,measles,50,2
b19883687,1895,P016,London Hospital,london hospital,disease,diphtheria,50,2
b19883687,1895,P016,London Hospital,london hospital,sanitary,sanitary,50,1
b19883687,1895,P016,London Hospital,london hospital,sanitary,nuisance,50,1
b19883687,1895,P016,London Hospital,london hospital,sanitary,dirty,50,1
b19883687,1895,P016,London Hospital,london hospital,housing,houses,50,3
b19883687,1895,P016,London Hospital,london hospital,governance,inspector,50,1
b19883687,1895,P016,London Hospital,london hospital,governance,board,50,2
b19883687,1895,P018,Commercial Street,commercial street,housing,houses,50,5
b19883687,1895,P019,George Yard,george yard,housing,houses,50,2
b19883687,1895,P020,Thrawl Street,thrawl street,sanitary,nuisance,50,2
b19883687,1895,P020,Thrawl Street,thrawl street,sanitary,water supply,50,1
b19883687,1895,P020,Thrawl Street,thrawl street,housing,lodging house,50,1
b19883687,1895,P020,Thrawl Street,thrawl street,housing,common lodging house,50,1
b19883687,1895,P021,Fashion Street,fashion street,housing,houses,50,1
b18038244,1896,P001,Whitechapel Road,whitechapel road,housing,houses,50,4
b18038244,1896,P003,Brick Lane,brick lane,housing,houses,50,2
b18038244,1896,P004,Commercial Road,commercial road,sanitary,sanitary,50,1
b18038244,1896,P004,Commercial Road,commercial road,governance,board,50,1
b18038244,1896,P006,Wentworth Street,wentworth street,disease,fever,50,1
b18038244,1896,P006,Wentworth Street,wentworth street,disease,scarlet fever,50,1
b18038244,1896,P006,Wentworth Street,wentworth street,sanitary,sanitary,50,4
b18038244,1896,P006,Wentworth Street,wentworth street,sanitary,drain,50,1
b18038244,1896,P006,Wentworth Street,wentworth street,sanitary,dirty,50,2
b18038244,1896,P006,Wentworth Street,wentworth street,housing,houses,50,4
b18038244,1896,P007,Flower and Dean Street,flower and dean street,disease,measles,50,1
b18038244,1896,P007,Flower and Dean Street,flower and dean street,housing,houses,50,2
b18038244,1896,P008,Dorset Street,dorset street,housing,houses,50,2
b18038244,1896,P009,Hanbury Street,hanbury street,sanitary,sanitary,50,1
b18038244,1896,P009,Hanbury Street,hanbury street,sanitary,dirty,50,2
b18038244,1896,P009,Hanbury Street,hanbury street,housing,houses,50,4
b18038244,1896,P010,Leman Street,leman street,housing,houses,50,4
b18038244,1896,P012,Spitalfields,spitalfields,disease,fever,50,15
b18038244,1896,P012,Spitalfields,spitalfields,disease,scarlet fever,50,4
b18038244,1896,P012,Spitalfields,spitalfields,disease,cholera,50,2
b18038244,1896,P012,Spitalfields,spitalfields,disease,smallpox,50,1
b18038244,1896,P012,Spitalfields,spitalfields,disease,typhus,50,3
b18038244,1896,P012,Spitalfields,spitalfields,disease,typhoid,50,1
b18038244,1896,P012,Spitalfields,spitalfields,disease,diphtheria,50,2
b18038244,1896,P012,Spitalfields,spitalfields,disease,diarrhoea,50,1
b18038244,1896,P012,Spitalfields,spitalfields,sanitary,sanitary,50,2
b18038244,1896,P012,Spitalfields,spitalfields,sanitary,drain,50,2
b18038244,1896,P012,Spitalfields,spitalfields,governance,summonses,50,1
b18038244,1896,P013,Mile End,mile end,disease,fever,50,3
b18038244,1896,P013,Mile End,mile end,housing,dwellings,50,1
b18038244,1896,P014,Mile End New Town,mile end new town,disease,fever,50,8
b18038244,1896,P014,Mile End New Town,mile end new town,disease,scarlet fever,50,1
b18038244,1896,P014,Mile End New Town,mile end new town,disease,cholera,50,1
b18038244,1896,P014,Mile End New Town,mile end new town,disease,typhus,50,1
b18038244,1896,P014,Mile End New Town,mile end new town,disease,diphtheria,50,1
b18038244,1896,P016,London Hospital,london hospital,disease,fever,50,3
b18038244,1896,P016,London Hospital,london hospital,disease,scarlet fever,50,1
b18038244,1896,P016,London Hospital,london hospital,disease,diphtheria,50,1
b18038244,1896,P016,London Hospital,london hospital,sanitary,sanitary,50,1
b18038244,1896,P016,London Hospital,london hospital,housing,lodging house,50,1
b18038244,1896,P016,London Hospital,london hospital,housing,common lodging house,50,1
b18038244,1896,P016,London Hospital,london hospital,housing,dwellings,50,1
b18038244,1896,P016,London Hospital,london hospital,housing,houses,50,1
b18038244,1896,P016,London Hospital,london hospital,governance,board,50,1
b18038244,1896,P018,Commercial Street,commercial street,sanitary,water supply,50,1
b18038244,1896,P018,Commercial Street,commercial street,housing,houses,50,2
b18038244,1896,P019,George Yard,george yard,housing,houses,50,2
b19883699,1897,P001,Whitechapel Road,whitechapel road,housing,houses,50,5
b19883699,1897,P003,Brick Lane,brick lane,sanitary,drain,50,1
b19883699,1897,P003,Brick Lane,brick lane,sanitary,water supply,50,1
b19883699,1897,P003,Brick Lane,brick lane,housing,houses,50,3
b19883699,1897,P003,Brick Lane,brick lane,governance,medical officer,50,1
